symbol,date,open,high,low,close,volume,adjusted
GC=F,2019-05-02,1269.199951171875,1270.800048828125,1266.5999755859375,1269.699951171875,63,1269.699951171875
GC=F,2019-05-03,1270.0999755859375,1279.199951171875,1270.0999755859375,1279.199951171875,15,1279.199951171875
GC=F,2019-05-06,1282.199951171875,1282.199951171875,1280.300048828125,1281.699951171875,12,1281.699951171875
GC=F,2019-05-07,1280.5,1283.5,1280.5,1283.5,8,1283.5
GC=F,2019-05-08,1279.4000244140625,1279.4000244140625,1279.4000244140625,1279.4000244140625,5,1279.4000244140625
GC=F,2019-05-09,1278.9000244140625,1285,1278.800048828125,1283.5,38,1283.5
GC=F,2019-05-10,1285.4000244140625,1286.5,1283.300048828125,1285.699951171875,6,1285.699951171875
GC=F,2019-05-13,1286.699951171875,1300.0999755859375,1281.800048828125,1300.0999755859375,56,1300.0999755859375
GC=F,2019-05-14,1297.800048828125,1297.800048828125,1294.699951171875,1294.699951171875,6,1294.699951171875
GC=F,2019-05-15,1296.9000244140625,1296.9000244140625,1296,1296.300048828125,55,1296.300048828125
GC=F,2019-05-16,1285.199951171875,1285.4000244140625,1285,1285,3,1285
GC=F,2019-05-17,1280,1280,1274.5,1274.5,1,1274.5
GC=F,2019-05-20,1276.0999755859375,1276.0999755859375,1276.0999755859375,1276.0999755859375,20,1276.0999755859375
GC=F,2019-05-21,1272,1272,1272,1272,0,1272
GC=F,2019-05-22,1273.5999755859375,1273.5999755859375,1273.5999755859375,1273.5999755859375,0,1273.5999755859375
GC=F,2019-05-23,1284.800048828125,1284.800048828125,1284.800048828125,1284.800048828125,0,1284.800048828125
GC=F,2019-05-24,1283,1283,1283,1283,9,1283
GC=F,2019-05-28,1276.5,1276.5,1276.5,1276.5,0,1276.5
GC=F,2019-05-29,1280.5999755859375,1280.5999755859375,1280.5999755859375,1280.5999755859375,189694,1280.5999755859375
GC=F,2019-05-30,1279.4000244140625,1288.300048828125,1273.9000244140625,1287.0999755859375,55573,1287.0999755859375
GC=F,2019-05-31,1287.699951171875,1306.4000244140625,1287.5,1305.800048828125,2814,1305.800048828125
GC=F,2019-06-03,1307,1327.800048828125,1307,1322.699951171875,812,1322.699951171875
GC=F,2019-06-04,1324.300048828125,1328.5999755859375,1320.800048828125,1323.4000244140625,302,1323.4000244140625
GC=F,2019-06-05,1328.9000244140625,1343.300048828125,1326.300048828125,1328.300048828125,622,1328.300048828125
GC=F,2019-06-06,1330.800048828125,1338.699951171875,1326.199951171875,1337.5999755859375,161,1337.5999755859375
GC=F,2019-06-07,1333.0999755859375,1347.699951171875,1329.800048828125,1341.199951171875,240,1341.199951171875
GC=F,2019-06-10,1335.800048828125,1336.5,1324.0999755859375,1324.699951171875,268,1324.699951171875
GC=F,2019-06-11,1328.4000244140625,1328.4000244140625,1319.0999755859375,1326.4000244140625,201,1326.4000244140625
GC=F,2019-06-12,1326.9000244140625,1334.5,1326.9000244140625,1331.9000244140625,139,1331.9000244140625
GC=F,2019-06-13,1331.5999755859375,1341.0999755859375,1331.5999755859375,1339.199951171875,157,1339.199951171875
GC=F,2019-06-14,1345.4000244140625,1355.4000244140625,1339.300048828125,1340.0999755859375,914,1340.0999755859375
GC=F,2019-06-17,1339,1340.300048828125,1335,1338.699951171875,76,1338.699951171875
GC=F,2019-06-18,1349.300048828125,1349.300048828125,1341.5999755859375,1346.5999755859375,29,1346.5999755859375
GC=F,2019-06-19,1344,1344.5999755859375,1344,1344.5999755859375,129,1344.5999755859375
GC=F,2019-06-20,1381.5,1392.9000244140625,1379.5,1392.9000244140625,76,1392.9000244140625
GC=F,2019-06-21,1406,1406,1390.300048828125,1396.199951171875,35,1396.199951171875
GC=F,2019-06-24,1406,1420.5999755859375,1402.0999755859375,1414.300048828125,125,1414.300048828125
GC=F,2019-06-25,1418.0999755859375,1433.300048828125,1414.9000244140625,1414.9000244140625,105,1414.9000244140625
GC=F,2019-06-26,1407.199951171875,1413.300048828125,1405.800048828125,1411.5999755859375,1333,1411.5999755859375
GC=F,2019-06-27,1407,1410.800048828125,1399.800048828125,1408.4000244140625,437,1408.4000244140625
GC=F,2019-06-28,1408.300048828125,1422,1408.300048828125,1409.699951171875,356,1409.699951171875
GC=F,2019-07-01,1386.5999755859375,1395.800048828125,1382.800048828125,1385.5999755859375,214,1385.5999755859375
GC=F,2019-07-02,1391.0999755859375,1418.4000244140625,1390.800048828125,1404.5999755859375,38,1404.5999755859375
GC=F,2019-07-03,1431,1434,1413.0999755859375,1417.699951171875,46,1417.699951171875
GC=F,2019-07-05,1418.300048828125,1418.300048828125,1390.199951171875,1396.699951171875,20,1396.699951171875
GC=F,2019-07-08,1395.9000244140625,1397,1393.5999755859375,1397,14,1397
GC=F,2019-07-09,1394.5,1397.5,1386.199951171875,1397.5,53,1397.5
GC=F,2019-07-10,1409.9000244140625,1410.0999755859375,1409.9000244140625,1410.0999755859375,50,1410.0999755859375
GC=F,2019-07-11,1424,1424,1404.300048828125,1404.300048828125,6,1404.300048828125
GC=F,2019-07-12,1405.5999755859375,1410.0999755859375,1405.5999755859375,1409.9000244140625,8,1409.9000244140625
GC=F,2019-07-15,1414.4000244140625,1415,1411.4000244140625,1411.4000244140625,25,1411.4000244140625
GC=F,2019-07-16,1413.5999755859375,1413.699951171875,1405,1409.199951171875,13,1409.199951171875
GC=F,2019-07-17,1404.5999755859375,1421.300048828125,1404.5999755859375,1421.300048828125,6,1421.300048828125
GC=F,2019-07-18,1422.300048828125,1444.199951171875,1419.5,1426.0999755859375,66,1426.0999755859375
GC=F,2019-07-19,1440.5,1442,1425.0999755859375,1425.0999755859375,22,1425.0999755859375
GC=F,2019-07-22,1425.300048828125,1425.300048828125,1424,1425.300048828125,1,1425.300048828125
GC=F,2019-07-23,1418.5999755859375,1421.300048828125,1416.300048828125,1420.0999755859375,5,1420.0999755859375
GC=F,2019-07-24,1422.800048828125,1422.800048828125,1422.800048828125,1422.800048828125,20,1422.800048828125
GC=F,2019-07-25,1413.9000244140625,1413.9000244140625,1413.9000244140625,1413.9000244140625,4,1413.9000244140625
GC=F,2019-07-26,1422.800048828125,1423,1418.5,1418.5,5,1418.5
GC=F,2019-07-29,1419.5999755859375,1419.5999755859375,1419.5999755859375,1419.5999755859375,224267,1419.5999755859375
GC=F,2019-07-30,1426.300048828125,1433.9000244140625,1422.0999755859375,1429.699951171875,73874,1429.699951171875
GC=F,2019-07-31,1431.300048828125,1435.800048828125,1411.199951171875,1426.0999755859375,3294,1426.0999755859375
GC=F,2019-08-01,1411.300048828125,1445.199951171875,1400.9000244140625,1420.9000244140625,2431,1420.9000244140625
GC=F,2019-08-02,1448,1448,1432.300048828125,1445.5999755859375,1873,1445.5999755859375
GC=F,2019-08-05,1440.4000244140625,1469.699951171875,1440.4000244140625,1464.5999755859375,1008,1464.5999755859375
GC=F,2019-08-06,1469.699951171875,1475,1457.699951171875,1472.4000244140625,460,1472.4000244140625
GC=F,2019-08-07,1473.5,1509.9000244140625,1473.199951171875,1507.300048828125,824,1507.300048828125
GC=F,2019-08-08,1498.4000244140625,1508.5,1492,1497.699951171875,367,1497.699951171875
GC=F,2019-08-09,1506.199951171875,1507.5,1495.5999755859375,1496.5999755859375,74,1496.5999755859375
GC=F,2019-08-12,1496,1514.9000244140625,1488.0999755859375,1505.300048828125,257,1505.300048828125
GC=F,2019-08-13,1510.4000244140625,1531.4000244140625,1483.699951171875,1502.199951171875,672,1502.199951171875
GC=F,2019-08-14,1500,1520.5,1497,1515.9000244140625,328,1515.9000244140625
GC=F,2019-08-15,1519.800048828125,1522.699951171875,1510.5999755859375,1519.5999755859375,87,1519.5999755859375
GC=F,2019-08-16,1524.5999755859375,1524.5999755859375,1504.699951171875,1512.5,1815,1512.5
GC=F,2019-08-19,1507.199951171875,1507.5999755859375,1492.9000244140625,1500.4000244140625,205,1500.4000244140625
GC=F,2019-08-20,1497.5,1506.0999755859375,1497.5,1504.5999755859375,486,1504.5999755859375
GC=F,2019-08-21,1504.9000244140625,1505,1498.800048828125,1504.5999755859375,350,1504.5999755859375
GC=F,2019-08-22,1495.0999755859375,1497.300048828125,1493.800048828125,1497.300048828125,686,1497.300048828125
GC=F,2019-08-23,1493.5,1527.5999755859375,1493.5,1526.5999755859375,983,1526.5999755859375
GC=F,2019-08-26,1543.199951171875,1543.300048828125,1524.300048828125,1526.300048828125,334,1526.300048828125
GC=F,2019-08-27,1530.5,1542.0999755859375,1528.5,1541,166,1541
GC=F,2019-08-28,1538.0999755859375,1538.0999755859375,1537.800048828125,1537.800048828125,2756,1537.800048828125
GC=F,2019-08-29,1537.5,1549.300048828125,1519.5999755859375,1526.5,704,1526.5
GC=F,2019-08-30,1524.5999755859375,1530.4000244140625,1516.699951171875,1519.0999755859375,276,1519.0999755859375
